date,year,month,day,day_of_week,is_weekend,volume_millions,value_crores,avg_txn_value_inr
2016-08-01,2016,8,1,Monday,0,0.0,0.12,0.0
2016-08-02,2016,8,2,Tuesday,0,0.0,0.11,0.0
2016-08-03,2016,8,3,Wednesday,0,0.0,0.1,0.0
2016-08-04,2016,8,4,Thursday,0,0.0,0.1,0.0
2016-08-05,2016,8,5,Friday,0,0.0,0.11,0.0
2016-08-06,2016,8,6,Saturday,1,0.0,0.08,0.0
2016-08-07,2016,8,7,Sunday,1,0.0,0.09,0.0
2016-08-08,2016,8,8,Monday,0,0.0,0.11,0.0
2016-08-09,2016,8,9,Tuesday,0,0.0,0.1,0.0
2016-08-10,2016,8,10,Wednesday,0,0.0,0.1,0.0
2016-08-11,2016,8,11,Thursday,0,0.0,0.1,0.0
2016-08-12,2016,8,12,Friday,0,0.0,0.11,0.0
2016-08-13,2016,8,13,Saturday,1,0.0,0.09,0.0
2016-08-14,2016,8,14,Sunday,1,0.0,0.08,0.0
2016-08-15,2016,8,15,Monday,0,0.0,0.1,0.0
2016-08-16,2016,8,16,Tuesday,0,0.0,0.1,0.0
2016-08-17,2016,8,17,Wednesday,0,0.0,0.1,0.0
2016-08-18,2016,8,18,Thursday,0,0.0,0.1,0.0
2016-08-19,2016,8,19,Friday,0,0.0,0.1,0.0
2016-08-20,2016,8,20,Saturday,1,0.0,0.08,0.0
2016-08-21,2016,8,21,Sunday,1,0.0,0.09,0.0
2016-08-22,2016,8,22,Monday,0,0.0,0.1,0.0
2016-08-23,2016,8,23,Tuesday,0,0.0,0.1,0.0
2016-08-24,2016,8,24,Wednesday,0,0.0,0.1,0.0
2016-08-25,2016,8,25,Thursday,0,0.0,0.1,0.0
2016-08-26,2016,8,26,Friday,0,0.0,0.11,0.0
2016-08-27,2016,8,27,Saturday,1,0.0,0.08,0.0
2016-08-28,2016,8,28,Sunday,1,0.0,0.09,0.0
2016-08-29,2016,8,29,Monday,0,0.0,0.1,0.0
2016-08-30,2016,8,30,Tuesday,0,0.0,0.11,0.0
2016-08-31,2016,8,31,Wednesday,0,0.0,0.11,0.0
2016-09-01,2016,9,1,Thursday,0,0.01,0.21,210.0
2016-09-02,2016,9,2,Friday,0,0.01,0.22,220.0
2016-09-03,2016,9,3,Saturday,1,0.0,0.14,0.0
2016-09-04,2016,9,4,Sunday,1,0.0,0.15,0.0
2016-09-05,2016,9,5,Monday,0,0.0,0.18,0.0
2016-09-06,2016,9,6,Tuesday,0,0.0,0.18,0.0
2016-09-07,2016,9,7,Wednesday,0,0.0,0.17,0.0
2016-09-08,2016,9,8,Thursday,0,0.0,0.17,0.0
2016-09-09,2016,9,9,Friday,0,0.0,0.19,0.0
2016-09-10,2016,9,10,Saturday,1,0.0,0.15,0.0
2016-09-11,2016,9,11,Sunday,1,0.0,0.15,0.0
2016-09-12,2016,9,12,Monday,0,0.0,0.18,0.0
2016-09-13,2016,9,13,Tuesday,0,0.0,0.17,0.0
2016-09-14,2016,9,14,Wednesday,0,0.0,0.17,0.0
2016-09-15,2016,9,15,Thursday,0,0.0,0.17,0.0
2016-09-16,2016,9,16,Friday,0,0.0,0.19,0.0
2016-09-17,2016,9,17,Saturday,1,0.0,0.16,0.0
2016-09-18,2016,9,18,Sunday,1,0.0,0.15,0.0
2016-09-19,2016,9,19,Monday,0,0.0,0.18,0.0
2016-09-20,2016,9,20,Tuesday,0,0.0,0.18,0.0
2016-09-21,2016,9,21,Wednesday,0,0.0,0.17,0.0
2016-09-22,2016,9,22,Thursday,0,0.0,0.17,0.0
2016-09-23,2016,9,23,Friday,0,0.0,0.19,0.0
2016-09-24,2016,9,24,Saturday,1,0.0,0.16,0.0
2016-09-25,2016,9,25,Sunday,1,0.0,0.15,0.0
2016-09-26,2016,9,26,Monday,0,0.0,0.18,0.0
2016-09-27,2016,9,27,Tuesday,0,0.0,0.17,0.0
2016-09-28,2016,9,28,Wednesday,0,0.0,0.18,0.0
2016-09-29,2016,9,29,Thursday,0,0.01,0.21,210.0
2016-09-30,2016,9,30,Friday,0,0.01,0.22,220.0
2016-10-01,2016,10,1,Saturday,1,0.01,0.5,500.0
2016-10-02,2016,10,2,Sunday,1,0.01,0.49,490.0
2016-10-03,2016,10,3,Monday,0,0.01,0.52,520.0
2016-10-04,2016,10,4,Tuesday,0,0.01,0.53,530.0
2016-10-05,2016,10,5,Wednesday,0,0.01,0.54,540.0
2016-10-06,2016,10,6,Thursday,0,0.01,0.52,520.0
2016-10-07,2016,10,7,Friday,0,0.01,0.57,570.0
2016-10-08,2016,10,8,Saturday,1,0.01,0.44,440.0
2016-10-09,2016,10,9,Sunday,1,0.01,0.43,430.0
2016-10-10,2016,10,10,Monday,0,0.01,0.55,550.0
2016-10-11,2016,10,11,Tuesday,0,0.01,0.54,540.0
2016-10-12,2016,10,12,Wednesday,0,0.01,0.52,520.0
2016-10-13,2016,10,13,Thursday,0,0.01,0.54,540.0
2016-10-14,2016,10,14,Friday,0,0.01,0.52,520.0
2016-10-15,2016,10,15,Saturday,1,0.01,0.5,500.0
2016-10-16,2016,10,16,Sunday,1,0.01,0.48,480.0
2016-10-17,2016,10,17,Monday,0,0.01,0.59,590.0
2016-10-18,2016,10,18,Tuesday,0,0.01,0.57,570.0
2016-10-19,2016,10,19,Wednesday,0,0.01,0.53,530.0
